Filename,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Lifetime
p16,0.0,0.3782493,0.0,0.0,0.52073324,0.30893576,0.0,1.0325856,0.24845064,0.0,0.0,0.0,0.0,0.77661294,0.2341941,0.5479995,0.29144716,0.0,0.0,0.0,0.69005597,1.1153761,0.0,0.0,0.0,0.72968847,0.0,0.08527845,0.7426554,0.7179325,0.6130717,0.0,0.23321548
p17,0.0,0.139503,0.0,0.0,0.13512313,0.080531955,0.0,0.6662618,0.049070477,0.0,0.0,0.0039678216,0.0,0.5760556,0.0,0.25213844,0.039956093,0.0,0.0,0.0,0.38250667,0.85943407,0.06364739,0.3296833,0.11210203,0.55951774,0.0,0.0,0.38844153,0.5640602,0.6872518,0.0,0.34390178
p18,0.0,0.3116386,0.0,0.0,0.32845974,0.24170327,0.0,0.88005,0.2025789,0.0,0.0,0.0,0.0,0.72844964,0.16009682,0.45566535,0.21379924,0.0,0.0,0.0,0.5741273,1.021813,0.0,0.04309845,0.105891705,0.6919959,0.0,0.057515204,0.60854757,0.6844593,0.6495948,0.0,0.17848647
p19,0.0,0.3090546,0.0,0.0,0.31912363,0.24404287,0.0,0.8373355,0.20180213,0.0,0.0,0.0,0.0,0.727169,0.1785559,0.44781125,0.20651412,0.0,0.0,0.0,0.5811631,1.0084084,0.0,0.0066604614,0.0,0.6914702,0.0,0.05757439,0.597041,0.6842006,0.6239686,0.0,-0.84267163
p20,0.0,3.5167708,0.0,3.3091903,3.0754492,3.5935612,3.1365142,2.9870112,3.466381,1.1324606,0.0,0.0,0.0,3.8248618,3.1775935,3.2701626,3.2779703,0.0,3.361991,3.2746935,2.1631207,3.186953,0.0,2.2246554,0.0,3.5080767,2.4112353,2.1557426,2.643368,3.268332,0.0,0.0,-0.9434945
p21,0.37162733,3.5258007,0.32395542,3.3025417,3.1335824,3.6004791,3.1317306,3.0917149,3.4773698,1.2527468,0.0,0.0,0.0,3.8240516,3.0789883,3.2018316,3.30484,0.0,3.3527808,3.2690773,1.9874206,3.1697438,0.0,2.39792,0.0,3.5079083,2.4024143,2.1551056,2.5343018,3.2681472,0.0,0.0,-2.2380462
p22,0.0,3.6897812,0.0,3.4700313,3.2843864,3.7575765,3.2929945,3.2109976,3.6239944,1.0730503,0.0,0.0,0.0,3.9758108,3.3240144,3.4385607,3.4578795,0.0,3.5256987,3.4338708,2.282964,3.330632,0.0,1.9864693,0.0,3.640128,2.5248842,2.254103,2.8044033,3.388515,0.0,0.0,-1.9229848
p23,0.38299298,3.6978202,0.21282852,3.4668398,3.3536856,3.7653923,3.2910376,3.3025262,3.6296926,1.0982146,0.0,0.0,0.0,3.977125,3.2748668,3.4156477,3.476934,0.0,3.521525,3.4311533,2.2111425,3.3436024,0.0,2.1292598,0.0,3.6406085,2.521104,2.2538993,2.7720993,3.3887205,0.0,0.0,-2.369086
p24,1.2447666,6.9157915,1.1682179,6.9210095,6.1086187,7.108937,6.6029716,5.592891,6.9058285,3.0951257,0.0,0.0,0.0,7.0755863,6.1546702,6.1763563,6.576457,0.0,6.998178,6.870491,3.6073332,5.5272264,0.0,4.6357117,0.0,6.4580665,4.9551272,4.3511434,4.6976376,5.9733806,0.0,0.0,-3.095518
p25,0.050439477,0.4852569,0.038224936,0.008259654,0.64606035,0.42526078,0.0,1.1242983,0.35910535,0.0,0.0,0.0,0.0,0.8808015,0.33491105,0.6316005,0.39055848,0.0,0.038488746,0.0,0.72952896,1.2023783,0.0,0.038147926,0.0,0.82469696,0.08240765,0.15617758,0.7934387,0.8052191,0.4287219,0.0,0.95833105
