id,job_1,job_2,job_3,lifetime,KK value,label,
187,3.54E-03,1.05E-02,7.04E-02,11.84272856,10.037534,warning-kk,
188,4.07E-03,2.41E-03,7.42E-02,12.39464551,8.579442,warning-kk,
189,2.07E-01,2.71E-01,8.78E+00,0.10801469,,,
190,2.45E-02,3.07E-03,1.71E-02,22.38638908,10.288918,warning-kk,
191,6.30E+00,1.83E+00,2.43E+01,0.030835646,9.394008,warning-kk,
192,3.79E+03,2.28E+01,1.87E+03,0.00017597,23.267758,warning-kk,
193,3.92E-01,4.55E-01,1.64E+00,0.402090873,19.264722,warning-kk,
194,5.59E+00,5.00E-01,2.85E+00,0.111856823,15.095185,warning-kk,
197,9.19E+01,6.06E+02,1.01E+02,0.001251721,,,
198,1.74E+02,4.19E+02,2.61E+02,0.00117096,,,
199,1.99E+02,3.72E+02,9.19E+01,0.001508523,,,
200,5.87E+02,2.00E+02,3.20E+02,0.000903342,13.742412,warning-kk,
201,3.97E+03,4.98E+02,4.12E+02,0.000204918,9.279211,warning-kk,
203,2.90E+01,2.77E+02,4.21E+02,0.001375516,,,
205,1.24E+03,1.08E+02,2.12E+03,0.000288351,7.724422,warning-kk,
208,1.56E-02,2.28E-01,2.75E+00,0.334045965,7.475919,warning-kk,
210,1.86E+00,4.31E-02,1.26E+01,0.068950776,,,
211,4.66E-03,2.40E-03,1.97E-03,110.7419712,,,
212,1.76E-03,1.23E-03,1.16E-04,321.9575016,,,
213,3.71E-03,4.51E-03,7.42E-05,120.5661788,,,
214,4.85E-04,2.23E-04,1.14E-05,1390.047262,8.230286,warning-kk,
215,5.90E-04,1.30E-04,3.77E-06,1381.654393,7.509857,warning-kk,
216,3.94E-04,1.19E-04,7.82E-02,12.70438174,,,
217,9.80E-03,6.97E-03,2.77E-02,22.48706993,,,
219,1.72E-02,1.12E-01,3.12E+02,0.003203802,,,
220,2.23E-01,1.19E-02,1.96E+01,0.050416186,,,
221,3.04E-01,2.92E-03,4.07E+02,0.002455151,7.360342,warning-kk,
222,2.71E+00,1.16E-01,1.43E+02,0.006857488,,,
223,7.35E-01,9.22E+00,2.23E+04,4.48E-05,,,
224,1.50E+00,7.36E+01,1.43E+03,0.000664408,,,
225,9.93E+03,8.11E+00,1.48E+02,9.91E-05,,,
226,1.44E+01,1.98E-01,3.74E+01,0.019231509,,,
227,9.94E+00,6.07E-01,1.53E+02,0.00611445,,,
228,1.26E+00,6.20E-02,2.78E+00,0.24378352,,,
229,3.55E+00,3.55E-01,1.25E+01,0.060957025,,,
230,5.27E-02,5.04E-04,5.76E+00,0.172022176,,,
231,1.15E+00,8.02E-03,6.57E+00,0.129399251,,,
232,1.86E+01,1.79E+02,2.11E+02,0.002447381,10.835059,warning-kk,
233,6.52E+01,5.20E+00,1.77E+02,0.004042037,7.485585,warning-kk,
234,1.97E+01,1.20E+00,1.41E+02,0.006176652,7.139171,warning-kk,
235,8.58E+00,3.70E+01,7.91E+01,0.008020533,11.233616,warning-kk,
237,1.96E+00,1.39E-01,3.16E+00,0.190150219,7.826363,warning-kk,
238,1.44E+00,3.00E+02,3.43E+02,0.001551735,,,
239,4.60E+01,4.33E+02,6.87E+02,0.000857633,,,
240,1.76E+01,4.92E+02,1.47E+03,0.000505153,17.624985,warning-kk,
241,2.99E-02,4.25E-03,4.25E-04,28.92263196,8.38019,warning-kk,
242,3.62E-02,9.15E-03,6.10E-04,21.75805048,8.468311,warning-kk,
243,5.57E-02,7.80E-03,2.13E-03,15.23693433,7.970991,warning-kk,
244,4.04E+00,6.13E+00,2.06E+00,0.081766149,,,
245,4.01E+02,3.00E+02,2.20E+03,0.000344709,,,
246,4.88E-02,2.09E-03,2.55E-02,13.09071868,,,
247,4.46E-01,4.37E-01,2.80E+00,0.271517784,,,
248,1.78E-01,6.83E-02,3.72E-01,1.617337862,12.324093,warning-kk,
249,7.37E-02,9.86E-02,4.16E-01,1.699813021,,,
250,1.65E+00,7.73E+00,8.49E+00,0.055959709,23.467943,warning-kk,
